,I/2002,I/2003,I/2004,I/2005,I/2006,I/2007,I/2008,I/2009,I/2010,I/2011,I/2012,I/2013,I/2014,I/2015,I/2016,I/2017
Total,487220.412,509970.312,548426.614,561617.16,567524.91,603515,613120.94,615894.26,630248.392,627223.912,628221.292,632819.358,648598.277,660087.511,661466.103,510211.0267
Termoelectrica,289026.068,311365.768,346356.094,350914.93,356409.87,384801.72,391639.08,394079.7,400610.496,396866.796,391978.616,396277.822,405326.091,412035.025,413576.427,269503.2882
        Vapor,171390,171390,169590,161346,154774,154805.4,154381.2,154411.2,154483.2,149601.2,143008.2,140383.203,136783.2,136783.2,136549.2,135379.2
        Ciclo combinado,83447.752,103578.152,139663.928,154102.58,168249.9,195011.24,202957.92,205002.04,213117.396,216309.396,216351.396,224518.798,238575.911,238924.548,240353.083,98282.51136
            CFE,45640.016,46175.016,54018.816,57587.78,60281.1,63083.44,65475.12,67519.24,73384.596,73426.596,73468.596,81202.998,90497.111,90845.748,92274.283,98282.51136
            PIE,37807.736,57403.136,85645.112,96514.8,107968.8,131927.8,137482.8,137482.8,139732.8,142882.8,142882.8,143315.8,148078.8,148078.8,148078.8,0
        Turbogas,32464.296,34677.396,35317.596,33473.87,31205.69,32524.6,31706.52,32073.02,30440.52,28393.22,30006.24,28302.241,26600.92,32641.918,32864.92,31566.12
        Combustion interna,1724.02,1720.22,1784.57,1992.48,2180.28,2460.48,2593.44,2593.44,2569.38,2562.98,2612.78,3073.58,3366.06,3685.359,3809.224,4275.456818
Dual,25200,25200,25200,25200,25200,25200,25200,25200,31983.6,33340.32,33340.32,33340.32,33340.32,8335.08,0,0
Carboelectrica,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,56205.24,64540.32,64540.32
Nucleoelectrica,16378.56,16378.56,16378.56,16378.56,16378.56,16378.56,16378.56,16378.56,16378.56,16378.56,19074.88,16800,16800,18120,19296,19296
Geotermica,10084.8,10418,11514,11514,11514,11514,11559,11574,11574,10639.2,9889.2,9880.8,9760.8,10255.6,10483.2,10483.2
Eolica,26.1,26.1,26.1,26.52,26.52,1025.76,1025.3,1023,1023,1032,5123.55,7168.2,7169.85,7879.8,8389.8,1035.6
        CFE,26.1,26.1,26.1,26.52,26.52,1025.76,1025.3,1023,1023,1032,1041,1038,1039.65,1035.6,1035.6,1035.6
        PIE,0,0,0,0,0,0,0,0,0,0,4082.55,6130.2,6130.2,6844.2,7354.2,0
Hidroelectrica,115304.884,115381.884,117751.86,126383.15,126795.96,133394.96,136119,136439,137478.736,137767.036,137608.726,138105.216,144929.216,147184.766,145108.356,145280.6186
Fotovoltaica,0,0,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,6,47,72,72,72,72